region,admin,env_variable,start_year,end_year,env_slope,env_p_value,trend,significance,n_year,cor_ts,lm_p_value,CB3_env_corr_summary,cb_slope,cb_p_value,cb_r^2,CB3_trend_summary
East,Donghae,COD_b_adj,2014.000,2024.000,0.072,0.000,increasing,significant,5.000,0.289,0.638,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,Chla_b_adj,2014.000,2024.000,0.059,0.204,increasing,not_significant,5.000,0.414,0.488,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,DIN_b_adj,2014.000,2024.000,5.475,0.031,increasing,significant,5.000,0.003,0.997,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,DIP_b_adj,2014.000,2024.000,0.839,0.037,increasing,significant,5.000,0.033,0.957,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,DO_b_adj,2014.000,2024.000,-0.091,0.075,decreasing,marginal,5.000,0.288,0.639,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,NH3-N_b_adj,2014.000,2024.000,0.231,0.548,increasing,not_significant,5.000,0.064,0.919,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,NO2-_b_adj,2014.000,2024.000,0.095,0.246,increasing,not_significant,5.000,-0.603,0.282,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,NO3-_b_adj,2014.000,2024.000,5.198,0.040,increasing,significant,5.000,0.020,0.975,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,SAS_b_adj,2014.000,2024.000,11.187,0.051,increasing,marginal,5.000,-0.156,0.802,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,SS_b_adj,2014.000,2024.000,0.241,0.015,increasing,significant,5.000,0.109,0.861,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,TN_b_adj,2014.000,2024.000,-6.166,0.017,decreasing,significant,5.000,0.272,0.658,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,TP_b_adj,2014.000,2024.000,0.860,0.027,increasing,significant,5.000,0.018,0.977,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,pH_b_adj,2014.000,2024.000,-0.008,0.081,decreasing,marginal,5.000,-0.547,0.340,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,salinity_b_adj,2014.000,2024.000,-0.015,0.325,decreasing,not_significant,5.000,-0.317,0.604,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,temp_b_adj,2014.000,2024.000,0.230,0.230,increasing,not_significant,5.000,-0.659,0.226,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Gangneung,COD_b_adj,2014.000,2024.000,0.076,0.001,increasing,significant,5.000,0.159,0.798,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,Chla_b_adj,2014.000,2024.000,-0.021,0.659,decreasing,not_significant,5.000,-0.166,0.790,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,DIN_b_adj,2014.000,2024.000,4.885,0.023,increasing,significant,5.000,-0.126,0.840,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,DIP_b_adj,2014.000,2024.000,0.666,0.045,increasing,significant,5.000,-0.302,0.621,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,DO_b_adj,2014.000,2024.000,-0.082,0.066,decreasing,marginal,5.000,0.650,0.235,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,NH3-N_b_adj,2014.000,2024.000,0.509,0.122,increasing,not_significant,5.000,0.043,0.946,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,NO2-_b_adj,2014.000,2024.000,0.181,0.059,increasing,marginal,5.000,-0.330,0.588,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,NO3-_b_adj,2014.000,2024.000,4.225,0.035,increasing,significant,5.000,-0.137,0.826,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,SAS_b_adj,2014.000,2024.000,9.373,0.049,increasing,significant,5.000,-0.289,0.638,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,SS_b_adj,2014.000,2024.000,0.288,0.026,increasing,significant,5.000,0.065,0.917,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,TN_b_adj,2014.000,2024.000,-4.953,0.012,decreasing,significant,5.000,0.507,0.383,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,TP_b_adj,2014.000,2024.000,0.718,0.040,increasing,significant,5.000,-0.213,0.731,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,pH_b_adj,2014.000,2024.000,-0.003,0.350,decreasing,not_significant,5.000,-0.270,0.660,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,salinity_b_adj,2014.000,2024.000,-0.014,0.513,decreasing,not_significant,5.000,-0.047,0.940,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,temp_b_adj,2014.000,2024.000,0.127,0.561,increasing,not_significant,5.000,-0.822,0.088,negative (marginal),0.012,0.802,0.024,increasing (not_significant)
East,Gosung,COD_b_adj,2014.000,2024.000,0.059,0.016,increasing,significant,3.000,-0.166,0.894,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,Chla_b_adj,2014.000,2024.000,0.035,0.434,increasing,not_significant,3.000,0.187,0.880,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,DIN_b_adj,2014.000,2024.000,-1.654,0.315,decreasing,not_significant,3.000,-0.137,0.912,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,DIP_b_adj,2014.000,2024.000,-0.307,0.270,decreasing,not_significant,3.000,0.045,0.971,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,DO_b_adj,2014.000,2024.000,-0.005,0.929,decreasing,not_significant,3.000,-0.569,0.615,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,NH3-N_b_adj,2014.000,2024.000,-0.213,0.484,decreasing,not_significant,3.000,0.000,1.000,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,NO2-_b_adj,2014.000,2024.000,-0.038,0.596,decreasing,not_significant,3.000,-0.541,0.636,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,NO3-_b_adj,2014.000,2024.000,-1.400,0.367,decreasing,not_significant,3.000,-0.083,0.947,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,SAS_b_adj,2014.000,2024.000,-4.863,0.270,decreasing,not_significant,3.000,-0.360,0.765,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,SS_b_adj,2014.000,2024.000,-0.361,0.090,decreasing,marginal,3.000,0.807,0.402,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,TN_b_adj,2014.000,2024.000,-3.959,0.028,decreasing,significant,3.000,0.877,0.320,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,TP_b_adj,2014.000,2024.000,-0.187,0.515,decreasing,not_significant,3.000,0.108,0.931,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,pH_b_adj,2014.000,2024.000,0.000,0.988,increasing,not_significant,3.000,0.504,0.664,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,salinity_b_adj,2014.000,2024.000,-0.025,0.355,decreasing,not_significant,3.000,0.803,0.406,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
