region,admin,COD_b_adj,Chla_b_adj,DIN_b_adj,DIP_b_adj,DO_b_adj,NH3-N_b_adj,NO2-_b_adj,NO3-_b_adj,SAS_b_adj,SS_b_adj,TN_b_adj,TP_b_adj,pH_b_adj,salinity_b_adj,temp_b_adj
East,Donghae,0.072,0.059,5.475,0.839,-0.091,0.231,0.095,5.198,11.187,0.241,-6.166,0.860,-0.008,-0.015,0.230
East,Gangneung,0.076,-0.021,4.885,0.666,-0.082,0.509,0.181,4.225,9.373,0.288,-4.953,0.718,-0.003,-0.014,0.127
East,Gosung,0.059,0.035,-1.654,-0.307,-0.005,-0.213,-0.038,-1.400,-4.863,-0.361,-3.959,-0.187,0.000,-0.025,0.200
East,Pohang,0.021,0.118,-0.308,0.315,0.014,0.521,0.035,-0.949,1.255,0.306,-12.452,0.111,-0.005,0.247,0.175
East,Samchuk,0.065,0.039,4.922,0.549,-0.074,0.019,0.053,4.575,10.265,0.125,-2.989,0.685,-0.004,0.002,-0.059
East,Sokcho,0.092,0.051,2.496,0.212,-0.044,0.598,0.110,0.965,1.424,0.204,-5.735,0.092,-0.003,-0.013,0.188
East,Uljin,0.062,0.046,5.173,0.687,-0.082,0.008,0.050,4.986,13.920,0.135,-2.605,0.747,-0.006,-0.009,0.108
East,YangYang,0.088,0.031,3.449,0.585,-0.036,0.295,0.072,3.412,6.616,0.148,-3.077,0.770,-0.004,0.015,-0.029
East,Youngduk,0.025,0.126,7.541,0.862,-0.083,0.684,0.082,6.412,15.872,0.336,-11.233,1.018,-0.009,0.203,0.137
Jeju,Aewol,0.048,0.028,-1.117,-0.020,0.033,0.370,0.105,-1.267,-5.112,0.050,-2.882,0.187,-0.004,0.007,0.237
Jeju,Anduk,0.020,-0.010,-1.403,-0.047,-0.032,-0.130,0.056,-1.326,-5.094,-0.155,-3.832,0.209,-0.005,-0.033,0.306
Jeju,Daejung,0.047,-0.017,-0.909,-0.075,-0.016,0.199,0.006,-1.088,-2.492,1.124,-8.136,0.079,-0.004,-0.032,0.203
Jeju,Gujwa,0.068,-0.013,0.511,0.046,-0.052,-0.344,0.002,0.854,-1.115,0.321,-6.503,0.279,-0.005,-0.028,0.239
Jeju,Hangyung,0.044,-0.009,0.317,0.101,-0.026,0.571,0.023,-0.373,-1.157,1.367,-8.459,0.296,-0.008,-0.014,0.196
Jeju,Jeju,0.050,0.006,0.203,-0.094,-0.029,0.570,0.120,-0.191,-3.645,0.868,-7.613,0.227,-0.008,-0.061,0.246
Jeju,Jocheon,0.045,-0.009,-0.693,0.144,0.004,-0.279,0.106,-0.519,0.647,1.156,-7.419,0.463,-0.006,0.017,0.101
Jeju,Namwon,0.041,0.023,-2.287,-0.293,0.040,-0.095,-0.108,-2.112,-10.452,1.021,-4.096,0.230,-0.018,-0.004,0.356
Jeju,Pyosun,0.043,0.019,1.063,0.213,-0.123,-0.027,0.086,0.784,3.267,0.745,-4.329,0.347,-0.010,-0.088,0.487
Jeju,Seoguipo,0.076,0.012,0.893,0.042,-0.006,-0.108,0.000,1.005,-0.715,1.122,-9.134,-0.072,-0.009,-0.016,0.180
Jeju,Sungsan,0.038,-0.010,-0.705,-0.122,-0.036,-0.240,0.066,-0.435,-5.175,1.236,-7.625,0.422,-0.004,-0.028,0.290
Jeju,Swoguipo,0.076,0.012,0.893,0.042,-0.006,-0.108,0.000,1.005,-0.715,1.122,-9.134,-0.072,-0.009,-0.016,0.180
South,Gangjin,0.120,-0.062,3.872,0.659,0.030,0.832,-0.016,3.058,5.724,-1.069,-14.235,-0.561,0.005,-0.031,0.169
South,Geoje,0.031,-0.077,1.939,0.435,-0.066,-0.120,-0.151,1.758,4.421,0.356,-5.785,0.463,-0.012,-0.038,0.157
South,Gohung,0.066,-0.020,2.588,0.371,-0.044,0.574,0.494,1.653,10.225,0.904,-7.802,0.563,-0.016,-0.046,0.140
South,Gosung,0.088,-0.049,-2.683,0.263,-0.049,-0.504,-0.592,-0.908,19.957,-0.605,-9.028,0.464,-0.014,-0.029,0.186
South,Namhae,0.106,-0.029,2.624,0.404,-0.108,1.181,-0.214,1.700,11.222,0.430,-4.165,0.616,-0.011,-0.040,0.164
South,Tongyoung,0.048,-0.117,1.986,0.364,-0.076,0.837,-0.267,0.887,-0.948,-0.300,-9.711,0.092,-0.013,-0.038,0.196
