region,raw_variable,mean_slope,std_slope,n_admin
East,COD_b_adj,0.062,0.025,9
East,Chla_b_adj,0.054,0.045,9
East,DIN_b_adj,3.553,2.937,9
East,DIP_b_adj,0.490,0.368,9
East,DO_b_adj,-0.054,0.038,9
East,NH3-N_b_adj,0.295,0.308,9
East,NO2-_b_adj,0.071,0.059,9
East,NO3-_b_adj,3.047,2.821,9
East,SAS_b_adj,7.228,6.754,9
East,SS_b_adj,0.158,0.209,9
East,TN_b_adj,-5.908,3.596,9
East,TP_b_adj,0.535,0.417,9
East,pH_b_adj,-0.005,0.003,9
East,salinity_b_adj,0.044,0.104,9
East,temp_b_adj,0.120,0.101,9
Jeju,COD_b_adj,0.050,0.016,12
Jeju,Chla_b_adj,0.003,0.016,12
Jeju,DIN_b_adj,-0.270,1.066,12
Jeju,DIP_b_adj,-0.005,0.135,12
Jeju,DO_b_adj,-0.021,0.042,12
Jeju,NH3-N_b_adj,0.032,0.319,12
Jeju,NO2-_b_adj,0.039,0.065,12
Jeju,NO3-_b_adj,-0.305,1.039,12
Jeju,SAS_b_adj,-2.647,3.545,12
Jeju,SS_b_adj,0.832,0.495,12
Jeju,TN_b_adj,-6.597,2.222,12
Jeju,TP_b_adj,0.216,0.170,12
Jeju,pH_b_adj,-0.008,0.004,12
Jeju,salinity_b_adj,-0.025,0.028,12
Jeju,temp_b_adj,0.252,0.100,12
South,COD_b_adj,0.077,0.031,8
South,Chla_b_adj,-0.102,0.124,8
South,DIN_b_adj,1.990,1.985,8
South,DIP_b_adj,0.441,0.123,8
South,DO_b_adj,-0.032,0.054,8
South,NH3-N_b_adj,0.624,0.667,8
South,NO2-_b_adj,-0.136,0.316,8
South,NO3-_b_adj,1.537,1.216,8
South,SAS_b_adj,7.633,6.225,8
South,SS_b_adj,-0.137,0.762,8
South,TN_b_adj,-8.015,3.068,8
South,TP_b_adj,0.354,0.438,8
South,pH_b_adj,-0.009,0.008,8
South,salinity_b_adj,-0.033,0.010,8
South,temp_b_adj,0.165,0.024,8
West,COD_b_adj,0.058,0.015,10
West,Chla_b_adj,0.014,0.110,10
West,DIN_b_adj,0.540,2.769,10
West,DIP_b_adj,0.151,0.311,10
West,DO_b_adj,-0.029,0.046,10
West,NH3-N_b_adj,0.050,0.699,10
West,NO2-_b_adj,0.067,0.394,10
West,NO3-_b_adj,0.483,2.228,10
West,SAS_b_adj,-0.222,4.565,10
West,SS_b_adj,1.603,2.741,10
West,TN_b_adj,-11.807,4.301,10
West,TP_b_adj,-0.936,0.994,10
West,pH_b_adj,0.000,0.005,10
West,salinity_b_adj,-0.063,0.021,10
West,temp_b_adj,0.180,0.152,10
