region,admin,year,rock_km2,normal_km2,prog_km2,critical_km2,norm_%,prog_%,critical_%,stid1,stid2,stid3,stid4,stid5,stid6,stid7,stid8,stid9
East,Gosung,2014,15.17009,6.48586,6.54981,2.13442,42.754,43.176,14.07,CE2546,CE2547,,,,,,,
East,Sokcho,2014,3.16456,0.2274,2.65353,0.28363,7.186,83.851,8.963,CE2542,CE2543,CE2544,,,,,,
East,YangYang,2014,12.70075,6.58182,4.07285,2.04608,51.822,32.068,16.11,CE2539,CE2538,CE2541,CE2540,CE2545,,,,
East,Gangneung,2014,12.6607,6.98918,3.73794,1.93358,55.204,29.524,15.272,CE2530,CE2531,CE2527,CE2529,CE2537,CE2533,CE2534,CE2535,CE2536
East,Donghae,2014,10.69509,4.78564,4.67305,1.2364,44.734,43.674,11.593,CE2523,CE2524,CE2522,CE2525,,,,,
East,Samchuk,2014,11.06653,4.70821,3.25827,3.10005,42.557,29.455,27.988,CE2521,CE2518,CE2520,CE2519,,,,,
East,Uljin,2014,15.74269,7.01175,4.04364,4.6873,44.543,25.685,29.772,CE2510,CE2511,CE2515,CE2514,CE2512,CE2513,CE2517,CE2516,
East,Youngduk,2014,12.51606,5.26151,2.42184,4.83271,42.014,19.352,38.634,CE2505,CE2504,CE2507,CE2506,CE2508,,,,
East,Pohang,2014,21.66084,5.13777,2.63939,13.88368,23.709,12.196,64.094,CE2504,CE2505,CE2503,CE2502,CE2501,,,,
East,Gyungju,2014,12.00184,4.73765,4.08454,3.17965,39.444,34.027,26.529,CE2441,CE2442,CE2443,CE2444,,,,,
East,Ulsan,2014,10.21889,1.88373,3.58594,4.74922,18.435,35.1,46.465,CE2440,,,,,,,,
South,Geoje,2015,7.266,3.011,2.275,1.98,41.4,31.3,27.3,CK2425,CK2426,CK2427,CK2430,CK2432,,,,
South,Tongyoung,2015,11.768,7.935,1.674,2.16,67.4,14.2,18.4,CK2423,CK2422,CK2420,CK2418,CK2426,CK2427,CK2421,CK2424,
South,Gosung,2015,1.596,1.422,0.129,0.045,89.1,8.1,2.8,CK2409,CK2411,CK2413,CK2412,,,,,
South,Namhae,2015,4.337,2.625,1.112,0.6,60.5,25.6,13.8,CK2406,CK2408,,,,,,,
Jeju,Hangyung,2016,9.95255,7.13124,1.75746,1.06385,71,18,11,CJ2617,CJ2619,,,,,,,
Jeju,Hallim,2016,16.89443,13.71886,1.48922,1.68635,81,9,10,CJ2618,,,,,,,,
Jeju,Aewol,2016,8.62732,4.77846,1.35895,2.48991,55,16,29,CJ2602,CJ2618,,,,,,,
Jeju,Jeju,2016,12.26112,5.51822,1.85301,4.88989,45,15,40,CJ2601,CJ2603,,,,,,,
Jeju,Jocheon,2016,8.32964,4.79303,1.70916,1.82745,58,20,22,CJ2606,,,,,,,,
Jeju,Gujwa,2016,27.88058,18.18898,4.40362,5.28798,65,16,19,CJ2605,CJ2604,,,,,,,
Jeju,Sungsan,2016,14.41953,9.98518,3.09588,1.33847,70,21,9,CJ2607,CJ2608,CJ2610,,,,,,
Jeju,Pyosun,2016,7.35926,4.60736,2.10263,0.64927,62,29,9,CJ2610,CJ2609,,,,,,,
Jeju,Namwon,2016,12.97956,7.70827,4.24495,1.02634,59,33,8,CJ2609,CJ2611,,,,,,,
Jeju,Seoguipo,2016,15.51835,9.92712,4.42252,1.16871,64,28,8,CJ2613,,,,,,,,
Jeju,Anduk,2016,6.3911,4.72398,1.1715,0.49562,74,18,8,CJ2615,,,,,,,,
Jeju,Daejung,2016,15.18666,9.68574,2.53802,2.9629,63,17,20,CJ2614,CJ2616,,,,,,,
East,Gosung,2017,8.486,4.525,2.915,1.046,53.3,34.4,12.3,CE2546,CE2547,,,,,,,
East,Sokcho,2017,3.148,1.408,1.476,0.264,44.7,46.9,8.4,CE2542,CE2543,CE2544,,,,,,
East,YangYang,2017,4.259,2.25,1.023,0.986,52.8,24,23.2,CE2539,CE2538,CE2541,CE2540,CE2545,,,,
East,Gangneung,2017,6.699,4.16,1.313,1.226,62.1,19.6,18.3,CE2530,CE2531,CE2527,CE2529,CE2537,CE2533,CE2534,CE2535,CE2536
East,Donghae,2017,2.073,1.178,0.742,0.153,56.8,35.8,7.4,CE2523,CE2524,CE2522,CE2525,,,,,
East,Samchuk,2017,5.801,3.255,1.059,1.487,56.1,18.3,25.6,CE2521,CE2518,CE2520,CE2519,,,,,
East,Uljin,2017,8.27,4.414,2.383,1.473,53.4,28.8,17.8,CE2510,CE2511,CE2515,CE2514,CE2512,CE2513,CE2517,CE2516,
East,Youngduk,2017,7.005,3.267,1.682,2.056,46.6,24,29.4,CE2505,CE2504,CE2507,CE2506,CE2508,,,,
East,Pohang,2017,40.863,15.326,10.334,15.203,37.5,25.3,37.2,CE2504,CE2505,CE2503,CE2502,CE2501,,,,
East,Gyungju,2017,7.686,3.842,2.198,1.646,50,28.6,21.4,CE2441,CE2442,CE2443,CE2444,,,,,
East,Ulsan,2017,14.565,6.223,4.606,3.736,42.7,31.6,25.7,CE2440,,,,,,,,
South,Geoje,2018,6.6315,5.648,0.6509,0.3326,85.16,9.82,5.02,CK2425,CK2430,CK2432,,,,,,
South,Tongyoung,2018,10.7103,8.643,1.5257,0.5416,80.69,14.25,5.06,CK2423,CK2423,CK2420,CK2418,CK2426,CK2427,CK2421,,
South,Gosung,2018,1.414,1.2956,0.0782,0.0402,91.63,5.53,2.84,CK2409,CK2411,CK2413,,,,,,
South,Namhae,2018,4.7935,4.0564,0.5336,0.2035,84.62,11.13,4.25,CK2406,CK2408,,,,,,,
South,Yeosu,2018,15.6383,13.0676,1.7319,0.8388,83.56,11.07,5.37,CK2402,CK2407,,,,,,,
South,Gohung,2018,8.8512,8.5323,0.2052,0.1137,96.4,2.32,1.28,CW2318,CW2322,CW2323,CW2324,CW2325,,,,
South,Gangjin,2018,0.0831,0.0709,0.0089,0.0033,85.32,10.71,3.97,CW2312,,,,,,,,
South,Wando,2018,15.1647,13.6372,1.0537,0.4738,89.93,6.95,3.12,CW2314,CW2313,CW2315,CW2317,,,,,
