region,admin,stid,year,month,date,depth,sechi,temp_b,salinity_b,pH_b,DO_b,COD_b,NH3-N_b,NO2-_b,NO3-_b,DIN_b,TN_b,DIP_b,TP_b,SAS_b,SS_b,Chla_b
East,Gangneung,CE2527,2014,2,2014-02-25,21,10,6.29,34.18,8.21,9.39,0.13,1,3.5,72,76.5,306.1,9.7,16.6,277.5,3.6,1.1
East,Gangneung,CE2527,2014,5,2014-05-16,19,5,12.03,34.18,8.21,9.88,0.92,4.3,0.3,0.7,5.3,257.7,19.8,20.5,54.6,6,2.67
East,Gangneung,CE2527,2014,8,2014-08-14,23,7,12.06,34.06,8.19,10.21,1.43,0.6,0.1,1.2,1.8,202.5,2.5,11.4,115.9,1.9,1.13
East,Gangneung,CE2527,2014,11,2014-11-06,20,10,16.93,33.59,8.15,7.91,0.9,7.2,0.2,18.3,25.6,188.2,2.8,8.5,145,2,1.24
East,Gangneung,CE2527,2015,2,2015-02-11,24,13,5.53,34.1,8.13,10.51,0.42,4.9,2.7,56.1,63.7,211.3,8.2,17.7,177.8,2.1,2.9
East,Gangneung,CE2527,2015,5,2015-05-09,24,10,5.09,34.01,8.03,10.14,0.89,7.9,2.8,74.3,85,291.7,13.6,20.4,244.5,1.7,1.98
East,Gangneung,CE2527,2015,8,2015-08-07,23,14,12.73,33.38,8.16,10.66,0.78,9.1,0.2,1.3,10.6,237.9,2.2,10.9,43.2,0.5,0.15
East,Gangneung,CE2527,2015,11,2015-11-21,18,10,14,33.25,8.21,8.81,1.17,12.3,2.5,21.2,36,162.7,4.6,9.2,172.8,1.5,0.49
East,Gangneung,CE2527,2016,2,2016-02-25,22,11.5,6.82,33.99,8.23,10.32,0.63,13.9,3.4,66.7,84,240.2,6.8,18.1,255.7,3.3,0.64
East,Gangneung,CE2527,2016,5,2016-05-18,23,12.4,10.06,33.98,7.94,8.82,0.95,7.2,1.9,30.1,39.2,193.4,4.9,20.6,118.8,11.9,0.21
East,Gangneung,CE2527,2016,8,2016-08-06,20,11,12.34,33.33,7.98,9.36,0.61,9.6,1.1,1,11.7,163.8,1.1,8.4,145.2,2,0.39
East,Gangneung,CE2527,2016,11,2016-11-27,20,13,12.39,33.26,8.3,8.46,0.58,3.7,1.1,9.2,14,154.2,3.6,11.1,92.9,3.8,1.53
East,Gangneung,CE2527,2017,2,2017-02-16,19,12,11.01,34.35,8.31,9,0.59,1.62,2.31,56.76,60.69,177.83,9.77,21.14,193.2,7.5,0.26
East,Gangneung,CE2527,2017,5,2017-05-13,19,9,8.89,34.22,8.11,8.53,1.19,1.04,4.19,104.85,110.07,205.6,17.39,23.6,318.47,4.6,0.83
East,Gangneung,CE2527,2017,8,2017-08-19,21,6.5,23.61,32.95,8.17,7.35,1.61,0.26,0.62,2.02,2.89,118.72,0.31,8.43,83.38,11.2,1.35
East,Gangneung,CE2527,2017,11,2017-11-24,19,12.9,15.28,33.74,8.27,8.16,1.32,11.84,6.29,43.89,62.02,137.49,15.13,16.83,216.66,2.8,0.78
East,Gangneung,CE2527,2018,2,2018-02-09,17,9.5,5.4,34.16,8.13,9.72,1.04,6.06,3.68,125.12,134.86,187.11,21.64,28.24,331.88,4.25,0.29
East,Gangneung,CE2527,2018,5,2018-05-06,22,9,12.16,34.18,8.27,9.15,1.27,13.08,0.13,10.56,23.77,113.81,0.34,12.43,67.31,3.9,0.97
East,Gangneung,CE2527,2018,8,2018-08-11,18,6.5,18.87,33.41,8.17,9.1,1.73,6.03,0.2,1.2,7.43,85.09,0.02,10.57,37.46,4.3,1.05
East,Gangneung,CE2527,2018,11,2018-11-03,20,9,11.21,33.87,8.16,7.07,1.42,3.54,3.07,95.49,102.1,240.69,18.35,29.42,347.96,1.97,0.5
East,Gangneung,CE2527,2019,2,2019-02-18,21,10.5,6.5,34.15,8.18,8.51,1.33,5.04,2.69,92.71,100.44,240.1,19.93,33.76,305.06,2.3,0.26
East,Gangneung,CE2527,2019,5,2019-05-04,19,7.6,7.72,34.14,8.04,7.37,1.6,12.82,1.2,48.85,62.87,206.84,11.63,24.37,158.65,8,0.46
East,Gangneung,CE2527,2019,8,2019-08-06,17.5,10.2,14.78,34.02,8.18,8.56,1.23,1.72,2.09,24.07,27.87,117.31,7.84,19.44,250.6,5.7,1.67
East,Gangneung,CE2527,2019,11,2019-11-10,18,8.5,17.73,33.18,8.2,8.09,0.82,7.32,3.3,16.76,27.38,140.13,2.85,13.39,183.54,3.95,1.44
East,Gangneung,CE2527,2020,2,2020-02-10,21,11,11.19,34.2,8.21,8.79,1.05,2.88,4.02,87.43,94.33,191.88,13.76,25.33,311.19,3.05,1.01
East,Gangneung,CE2527,2020,5,2020-05-26,20,3.7,13.41,34.01,8.22,10.73,1.78,6.4,1.25,16.75,24.4,135.91,3.63,20.18,167.22,13.3,6.4
East,Gangneung,CE2527,2020,8,2020-08-15,19.5,8,19.66,33.42,8.15,9.21,1.22,2.77,0.03,1.44,4.24,111.19,0.06,10.14,97.27,3.45,1.4
East,Gangneung,CE2527,2020,11,2020-11-25,20,9,15.01,33.37,8.29,8.74,1.03,2.93,0.81,6.26,10,118.68,0.99,13.11,42.64,4.25,5.5
East,Gangneung,CE2527,2021,2,2021-02-06,27,10,6.84,34.04,8.18,9.57,1.03,0.06,4.09,132.72,136.86,194.8,19.41,24.55,334.57,2.7,0.34
East,Gangneung,CE2527,2021,5,2021-05-10,24,8,10.87,34.16,8.27,9.51,1.32,10.4,2.4,23.8,36.6,79.6,6.7,22.6,65.4,5.8,3.4
East,Gangneung,CE2527,2021,8,2021-08-06,18,10,15.12,33.92,8.14,9.58,2.39,11.6,0.3,3.4,15.3,102.9,6.45,13.7,96.91,6.6,0.61
East,Gangneung,CE2527,2021,11,2021-11-15,20,11,17.69,33.62,8.2,7.44,0.83,0.91,3.67,47.81,52.39,116.06,9.05,11.25,235.12,23.95,1
