region,admin,CB_type,variable,n_years,cor_ts,lm_slope,lm_p_value
East,Donghae,CB_1,COD_b_adj,5.000,0.001,0.005,0.998
East,Donghae,CB_1,Chla_b_adj,5.000,0.551,1.905,0.336
East,Donghae,CB_1,DIN_b_adj,5.000,-0.289,-0.012,0.638
East,Donghae,CB_1,DIP_b_adj,5.000,-0.166,-0.049,0.789
East,Donghae,CB_1,DO_b_adj,5.000,0.395,0.757,0.510
East,Donghae,CB_1,NH3-N_b_adj,5.000,0.089,0.067,0.887
East,Donghae,CB_1,NO2-_b_adj,5.000,-0.671,-0.644,0.215
East,Donghae,CB_1,NO3-_b_adj,5.000,-0.277,-0.012,0.652
East,Donghae,CB_1,SAS_b_adj,5.000,-0.316,-0.005,0.604
East,Donghae,CB_1,SS_b_adj,5.000,-0.083,-0.061,0.895
East,Donghae,CB_1,TN_b_adj,5.000,0.343,0.014,0.571
East,Donghae,CB_1,TP_b_adj,5.000,-0.247,-0.055,0.688
East,Donghae,CB_1,pH_b_adj,5.000,-0.273,-7.909,0.656
East,Donghae,CB_1,salinity_b_adj,5.000,-0.279,-2.611,0.649
East,Donghae,CB_1,temp_b_adj,5.000,-0.691,-1.268,0.196
East,Donghae,CB_2,COD_b_adj,5.000,-0.439,-1.800,0.459
East,Donghae,CB_2,Chla_b_adj,5.000,0.701,2.605,0.187
East,Donghae,CB_2,DIN_b_adj,5.000,-0.647,-0.029,0.238
East,Donghae,CB_2,DIP_b_adj,5.000,-0.556,-0.175,0.331
East,Donghae,CB_2,DO_b_adj,5.000,0.601,1.240,0.283
East,Donghae,CB_2,NH3-N_b_adj,5.000,-0.353,-0.288,0.560
East,Donghae,CB_2,NO2-_b_adj,5.000,-0.873,-0.900,0.054
East,Donghae,CB_2,NO3-_b_adj,5.000,-0.618,-0.030,0.266
East,Donghae,CB_2,SAS_b_adj,5.000,-0.670,-0.011,0.216
East,Donghae,CB_2,SS_b_adj,5.000,-0.476,-0.376,0.418
East,Donghae,CB_2,TN_b_adj,5.000,0.640,0.028,0.245
East,Donghae,CB_2,TP_b_adj,5.000,-0.583,-0.140,0.302
East,Donghae,CB_2,pH_b_adj,5.000,0.209,6.520,0.735
