region,admin,variable,n_points,start_year,end_year,intercept,slope,p_value,r^2
East,Donghae,COD_b_adj,44.000,2014.000,2024.000,-167.680,0.083,0.001,0.251
East,Donghae,Chla_b_adj,44.000,2014.000,2024.000,10.546,-0.005,0.859,0.001
East,Donghae,DIN_b_adj,44.000,2014.000,2024.000,-8938.945,4.427,0.056,0.084
East,Donghae,DIP_b_adj,44.000,2014.000,2024.000,-1218.998,0.604,0.106,0.061
East,Donghae,DO_b_adj,44.000,2014.000,2024.000,177.307,-0.088,0.075,0.073
East,Donghae,NH3-N_b_adj,44.000,2014.000,2024.000,-146.770,0.073,0.771,0.002
East,Donghae,NO2-_b_adj,44.000,2014.000,2024.000,-218.910,0.108,0.216,0.036
East,Donghae,NO3-_b_adj,44.000,2014.000,2024.000,-8568.146,4.243,0.066,0.078
East,Donghae,SAS_b_adj,44.000,2014.000,2024.000,-18287.144,9.056,0.098,0.064
East,Donghae,SS_b_adj,44.000,2014.000,2024.000,-513.939,0.255,0.082,0.070
East,Donghae,TN_b_adj,44.000,2014.000,2024.000,14040.709,-6.953,0.006,0.169
East,Donghae,TP_b_adj,44.000,2014.000,2024.000,-1419.453,0.703,0.041,0.096
East,Donghae,pH_b_adj,44.000,2014.000,2024.000,11.286,-0.006,0.245,0.032
East,Donghae,salinity_b_adj,44.000,2014.000,2024.000,20.434,-0.010,0.539,0.009
East,Donghae,temp_b_adj,44.000,2014.000,2024.000,-528.614,0.262,0.184,0.042
East,Gangneung,COD_b_adj,44.000,2014.000,2024.000,-153.528,0.076,0.001,0.222
East,Gangneung,Chla_b_adj,44.000,2014.000,2024.000,61.970,-0.031,0.527,0.010
East,Gangneung,DIN_b_adj,44.000,2014.000,2024.000,-9894.729,4.900,0.023,0.117
East,Gangneung,DIP_b_adj,44.000,2014.000,2024.000,-1352.490,0.670,0.044,0.093
East,Gangneung,DO_b_adj,44.000,2014.000,2024.000,173.447,-0.086,0.058,0.083
East,Gangneung,NH3-N_b_adj,44.000,2014.000,2024.000,-983.225,0.487,0.139,0.051
East,Gangneung,NO2-_b_adj,44.000,2014.000,2024.000,-365.999,0.181,0.058,0.083
East,Gangneung,NO3-_b_adj,44.000,2014.000,2024.000,-8586.672,4.252,0.034,0.103
East,Gangneung,SAS_b_adj,44.000,2014.000,2024.000,-19028.441,9.423,0.048,0.090
East,Gangneung,SS_b_adj,44.000,2014.000,2024.000,-577.211,0.286,0.028,0.110
East,Gangneung,TN_b_adj,44.000,2014.000,2024.000,9913.261,-4.909,0.013,0.138
East,Gangneung,TP_b_adj,44.000,2014.000,2024.000,-1457.252,0.722,0.039,0.097
East,Gangneung,pH_b_adj,44.000,2014.000,2024.000,7.525,-0.004,0.316,0.024
East,Gangneung,salinity_b_adj,44.000,2014.000,2024.000,30.763,-0.015,0.491,0.011
East,Gangneung,temp_b_adj,44.000,2014.000,2024.000,-296.520,0.147,0.513,0.010
East,Gosung,COD_b_adj,44.000,2014.000,2024.000,-119.207,0.059,0.016,0.130
East,Gosung,Chla_b_adj,44.000,2014.000,2024.000,-70.770,0.035,0.434,0.015
East,Gosung,DIN_b_adj,44.000,2014.000,2024.000,3340.143,-1.654,0.315,0.024
East,Gosung,DIP_b_adj,44.000,2014.000,2024.000,619.055,-0.307,0.270,0.029
East,Gosung,DO_b_adj,44.000,2014.000,2024.000,9.646,-0.005,0.929,0.000
East,Gosung,NH3-N_b_adj,44.000,2014.000,2024.000,430.228,-0.213,0.484,0.012
East,Gosung,NO2-_b_adj,44.000,2014.000,2024.000,77.602,-0.038,0.596,0.007
East,Gosung,NO3-_b_adj,44.000,2014.000,2024.000,2827.706,-1.400,0.367,0.019
East,Gosung,SAS_b_adj,44.000,2014.000,2024.000,9820.109,-4.863,0.270,0.029
East,Gosung,SS_b_adj,44.000,2014.000,2024.000,728.635,-0.361,0.090,0.067
East,Gosung,TN_b_adj,44.000,2014.000,2024.000,7994.471,-3.959,0.028,0.109
East,Gosung,TP_b_adj,44.000,2014.000,2024.000,378.302,-0.187,0.515,0.010
East,Gosung,pH_b_adj,44.000,2014.000,2024.000,-0.117,0.000,0.988,0.000
East,Gosung,salinity_b_adj,44.000,2014.000,2024.000,50.004,-0.025,0.355,0.020
East,Gosung,temp_b_adj,44.000,2014.000,2024.000,-404.073,0.200,0.513,0.010
East,Samchuk,COD_b_adj,44.000,2014.000,2024.000,-135.441,0.067,0.014,0.135
East,Samchuk,Chla_b_adj,44.000,2014.000,2024.000,-82.316,0.041,0.507,0.011
East,Samchuk,DIN_b_adj,44.000,2014.000,2024.000,-10404.178,5.152,0.033,0.104
East,Samchuk,DIP_b_adj,44.000,2014.000,2024.000,-1147.435,0.568,0.132,0.053
East,Samchuk,DO_b_adj,44.000,2014.000,2024.000,158.248,-0.078,0.116,0.058
East,Samchuk,NH3-N_b_adj,44.000,2014.000,2024.000,-550.125,0.272,0.310,0.025
East,Samchuk,NO2-_b_adj,44.000,2014.000,2024.000,-108.495,0.054,0.542,0.009
East,Samchuk,NO3-_b_adj,44.000,2014.000,2024.000,-9743.839,4.825,0.041,0.096
East,Samchuk,SAS_b_adj,44.000,2014.000,2024.000,-21809.491,10.800,0.065,0.079
East,Samchuk,SS_b_adj,44.000,2014.000,2024.000,0.539,-0.000,0.999,0.000
East,Samchuk,TN_b_adj,44.000,2014.000,2024.000,4951.494,-2.452,0.298,0.026
East,Samchuk,TP_b_adj,44.000,2014.000,2024.000,-1472.442,0.729,0.053,0.086
East,Samchuk,pH_b_adj,44.000,2014.000,2024.000,8.518,-0.004,0.301,0.025
East,Samchuk,salinity_b_adj,44.000,2014.000,2024.000,-16.030,0.008,0.747,0.003
East,Samchuk,temp_b_adj,44.000,2014.000,2024.000,118.437,-0.059,0.780,0.002
East,Sokcho,COD_b_adj,44.000,2014.000,2024.000,-199.546,0.099,0.000,0.289
East,Sokcho,Chla_b_adj,44.000,2014.000,2024.000,-56.887,0.028,0.539,0.009
East,Sokcho,DIN_b_adj,44.000,2014.000,2024.000,-5025.679,2.489,0.311,0.024
East,Sokcho,DIP_b_adj,44.000,2014.000,2024.000,-663.273,0.328,0.416,0.016
East,Sokcho,DO_b_adj,44.000,2014.000,2024.000,55.963,-0.028,0.596,0.007
East,Sokcho,NH3-N_b_adj,44.000,2014.000,2024.000,-1267.755,0.628,0.101,0.063
East,Sokcho,NO2-_b_adj,44.000,2014.000,2024.000,-136.939,0.068,0.399,0.017
East,Sokcho,NO3-_b_adj,44.000,2014.000,2024.000,-3621.025,1.793,0.440,0.014
East,Sokcho,SAS_b_adj,44.000,2014.000,2024.000,-7789.936,3.858,0.487,0.012
East,Sokcho,SS_b_adj,44.000,2014.000,2024.000,-441.840,0.219,0.174,0.044
East,Sokcho,TN_b_adj,44.000,2014.000,2024.000,12383.522,-6.132,0.018,0.125
East,Sokcho,TP_b_adj,44.000,2014.000,2024.000,-618.236,0.306,0.415,0.016
East,Sokcho,pH_b_adj,44.000,2014.000,2024.000,2.934,-0.001,0.737,0.003
East,Sokcho,salinity_b_adj,44.000,2014.000,2024.000,34.580,-0.017,0.313,0.024
East,Sokcho,temp_b_adj,44.000,2014.000,2024.000,-286.761,0.142,0.526,0.010
Jeju,Daejung,COD_b_adj,44.000,2014.000,2024.000,-101.341,0.050,0.132,0.053
Jeju,Daejung,Chla_b_adj,44.000,2014.000,2024.000,35.523,-0.018,0.572,0.008
Jeju,Daejung,DIN_b_adj,44.000,2014.000,2024.000,1909.708,-0.946,0.484,0.012
Jeju,Daejung,DIP_b_adj,44.000,2014.000,2024.000,206.809,-0.102,0.613,0.006
Jeju,Daejung,DO_b_adj,44.000,2014.000,2024.000,3.516,-0.002,0.970,0.000
Jeju,Daejung,NH3-N_b_adj,44.000,2014.000,2024.000,-295.339,0.146,0.845,0.001
Jeju,Daejung,NO2-_b_adj,44.000,2014.000,2024.000,-13.138,0.007,0.917,0.000
Jeju,Daejung,NO3-_b_adj,44.000,2014.000,2024.000,2220.680,-1.100,0.297,0.026
Jeju,Daejung,SAS_b_adj,44.000,2014.000,2024.000,5322.096,-2.636,0.315,0.024
Jeju,Daejung,SS_b_adj,44.000,2014.000,2024.000,-2408.353,1.193,0.034,0.103
Jeju,Daejung,TN_b_adj,44.000,2014.000,2024.000,10817.694,-5.357,0.048,0.090
Jeju,Daejung,TP_b_adj,44.000,2014.000,2024.000,-160.701,0.080,0.643,0.005
Jeju,Daejung,pH_b_adj,44.000,2014.000,2024.000,7.072,-0.004,0.553,0.008
Jeju,Daejung,salinity_b_adj,44.000,2014.000,2024.000,66.078,-0.033,0.514,0.010
Jeju,Daejung,temp_b_adj,44.000,2014.000,2024.000,-462.663,0.229,0.210,0.037
Jeju,Gujwa,COD_b_adj,44.000,2014.000,2024.000,-138.083,0.068,0.013,0.139
Jeju,Gujwa,Chla_b_adj,44.000,2014.000,2024.000,26.114,-0.013,0.645,0.005
Jeju,Gujwa,DIN_b_adj,44.000,2014.000,2024.000,-1031.253,0.511,0.710,0.003
Jeju,Gujwa,DIP_b_adj,44.000,2014.000,2024.000,-93.212,0.046,0.832,0.001
Jeju,Gujwa,DO_b_adj,44.000,2014.000,2024.000,105.350,-0.052,0.323,0.023
Jeju,Gujwa,NH3-N_b_adj,44.000,2014.000,2024.000,694.305,-0.344,0.385,0.018
Jeju,Gujwa,NO2-_b_adj,44.000,2014.000,2024.000,-4.175,0.002,0.993,0.000
Jeju,Gujwa,NO3-_b_adj,44.000,2014.000,2024.000,-1724.548,0.854,0.490,0.011
Jeju,Gujwa,SAS_b_adj,44.000,2014.000,2024.000,2252.378,-1.115,0.603,0.006
Jeju,Gujwa,SS_b_adj,44.000,2014.000,2024.000,-648.938,0.321,0.457,0.013
Jeju,Gujwa,TN_b_adj,44.000,2014.000,2024.000,13131.039,-6.503,0.001,0.243
Jeju,Gujwa,TP_b_adj,44.000,2014.000,2024.000,-564.164,0.279,0.121,0.056
Jeju,Gujwa,pH_b_adj,44.000,2014.000,2024.000,10.913,-0.005,0.352,0.021
Jeju,Gujwa,salinity_b_adj,44.000,2014.000,2024.000,56.677,-0.028,0.633,0.005
Jeju,Gujwa,temp_b_adj,44.000,2014.000,2024.000,-482.934,0.239,0.206,0.038
Jeju,Hallim,COD_b_adj,44.000,2014.000,2024.000,-88.017,0.044,0.130,0.054
Jeju,Hallim,Chla_b_adj,44.000,2014.000,2024.000,21.377,-0.011,0.718,0.003
Jeju,Hallim,DIN_b_adj,44.000,2014.000,2024.000,696.152,-0.345,0.776,0.002
Jeju,Hallim,DIP_b_adj,44.000,2014.000,2024.000,-236.070,0.117,0.568,0.008
Jeju,Hallim,DO_b_adj,44.000,2014.000,2024.000,56.111,-0.028,0.571,0.008
Jeju,Hallim,NH3-N_b_adj,44.000,2014.000,2024.000,0.238,-0.000,1.000,0.000
Jeju,Hallim,NO2-_b_adj,44.000,2014.000,2024.000,-69.399,0.034,0.630,0.006
Jeju,Hallim,NO3-_b_adj,44.000,2014.000,2024.000,768.012,-0.380,0.742,0.003
Jeju,Hallim,SAS_b_adj,44.000,2014.000,2024.000,122.318,-0.061,0.981,0.000
Jeju,Hallim,SS_b_adj,44.000,2014.000,2024.000,-3182.564,1.576,0.012,0.142
Jeju,Hallim,TN_b_adj,44.000,2014.000,2024.000,17212.632,-8.524,0.000,0.302
Jeju,Hallim,TP_b_adj,44.000,2014.000,2024.000,-584.900,0.290,0.078,0.072
Jeju,Hallim,pH_b_adj,44.000,2014.000,2024.000,14.457,-0.007,0.410,0.016
Jeju,Hallim,salinity_b_adj,44.000,2014.000,2024.000,4.848,-0.002,0.948,0.000
Jeju,Hallim,temp_b_adj,44.000,2014.000,2024.000,-388.101,0.192,0.222,0.035
Jeju,Jeju,COD_b_adj,44.000,2014.000,2024.000,-108.825,0.054,0.034,0.102
Jeju,Jeju,Chla_b_adj,44.000,2014.000,2024.000,11.673,-0.006,0.868,0.001
Jeju,Jeju,DIN_b_adj,44.000,2014.000,2024.000,390.412,-0.193,0.887,0.000
Jeju,Jeju,DIP_b_adj,44.000,2014.000,2024.000,222.699,-0.110,0.662,0.005
Jeju,Jeju,DO_b_adj,44.000,2014.000,2024.000,58.023,-0.029,0.572,0.008
Jeju,Jeju,NH3-N_b_adj,44.000,2014.000,2024.000,-70.806,0.035,0.941,0.000
Jeju,Jeju,NO2-_b_adj,44.000,2014.000,2024.000,-231.492,0.115,0.207,0.038
Jeju,Jeju,NO3-_b_adj,44.000,2014.000,2024.000,900.454,-0.446,0.748,0.002
Jeju,Jeju,SAS_b_adj,44.000,2014.000,2024.000,5641.159,-2.794,0.441,0.014
Jeju,Jeju,SS_b_adj,44.000,2014.000,2024.000,-1753.097,0.868,0.051,0.088
Jeju,Jeju,TN_b_adj,44.000,2014.000,2024.000,15791.771,-7.820,0.000,0.336
Jeju,Jeju,TP_b_adj,44.000,2014.000,2024.000,-492.590,0.244,0.200,0.039
Jeju,Jeju,pH_b_adj,44.000,2014.000,2024.000,19.601,-0.010,0.148,0.049
Jeju,Jeju,salinity_b_adj,44.000,2014.000,2024.000,132.733,-0.066,0.314,0.024
Jeju,Jeju,temp_b_adj,44.000,2014.000,2024.000,-588.735,0.292,0.143,0.050
Jeju,Sungsanpo,COD_b_adj,44.000,2014.000,2024.000,-94.510,0.047,0.175,0.043
Jeju,Sungsanpo,Chla_b_adj,44.000,2014.000,2024.000,20.212,-0.010,0.673,0.004
Jeju,Sungsanpo,DIN_b_adj,44.000,2014.000,2024.000,2146.926,-1.063,0.365,0.020
Jeju,Sungsanpo,DIP_b_adj,44.000,2014.000,2024.000,263.666,-0.131,0.534,0.009
Jeju,Sungsanpo,DO_b_adj,44.000,2014.000,2024.000,-7.678,0.004,0.932,0.000
Jeju,Sungsanpo,NH3-N_b_adj,44.000,2014.000,2024.000,504.007,-0.250,0.503,0.011
Jeju,Sungsanpo,NO2-_b_adj,44.000,2014.000,2024.000,-44.697,0.022,0.769,0.002
Jeju,Sungsanpo,NO3-_b_adj,44.000,2014.000,2024.000,1688.660,-0.836,0.440,0.014
Jeju,Sungsanpo,SAS_b_adj,44.000,2014.000,2024.000,10573.280,-5.236,0.032,0.105
Jeju,Sungsanpo,SS_b_adj,44.000,2014.000,2024.000,-2564.498,1.270,0.001,0.241
Jeju,Sungsanpo,TN_b_adj,44.000,2014.000,2024.000,17376.659,-8.605,0.000,0.330
