stid,region,admin,year,quarter,temp_b_adj,salinity_b_adj,pH_b_adj,DO_b_adj,COD_b_adj,NH3-N_b_adj,NO2-_b_adj,NO3-_b_adj,DIN_b_adj,TN_b_adj,DIP_b_adj,TP_b_adj,SAS_b_adj,SS_b_adj,Chla_b_adj,time_num
CC2205,West,Seosan,2014,1,-8.573,-0.182,-0.090,2.064,-0.188,-7.060,-3.932,11.250,0.266,155.399,9.614,24.248,174.379,-18.644,-0.839,2014.000
CC2205,West,Seosan,2014,2,-4.604,-0.347,-0.056,1.255,-0.431,-4.147,-1.304,77.711,72.265,194.706,-0.236,3.047,-51.727,0.347,2.391,2014.250
CC2205,West,Seosan,2014,3,6.365,-0.148,0.053,-1.382,-0.291,12.734,5.975,-20.799,-2.085,60.405,-4.794,-9.970,-7.059,-9.185,-0.644,2014.500
CC2205,West,Seosan,2014,4,3.380,0.580,0.091,-1.212,-0.499,-5.822,23.511,-73.029,-55.434,97.401,-3.869,-1.919,-76.956,-2.080,-0.499,2014.750
CC2205,West,Seosan,2015,1,-8.998,0.448,0.089,1.077,-0.040,-6.784,-3.316,80.588,70.496,121.999,6.543,12.465,165.393,-1.690,-1.590,2015.000
CC2205,West,Seosan,2015,2,-2.303,0.305,0.047,0.813,-0.174,-5.950,-1.641,17.453,9.772,168.995,-2.461,4.457,-105.620,3.298,0.977,2015.250
CC2205,West,Seosan,2015,3,8.143,0.299,-0.090,-1.322,-0.207,1.183,11.274,-68.777,-56.314,-39.900,-7.556,-10.452,-76.902,-16.366,0.077,2015.500
CC2205,West,Seosan,2015,4,2.280,0.472,-0.057,-0.649,-0.863,-7.789,0.991,-3.661,-10.455,51.405,3.234,7.147,77.454,3.469,-0.815,2015.750
CC2205,West,Seosan,2016,1,-12.129,0.425,0.076,2.846,-0.033,-6.090,-4.940,106.042,95.015,222.510,7.239,27.196,291.970,-0.958,-0.263,2016.000
CC2205,West,Seosan,2016,2,-2.482,0.389,0.010,-0.239,-0.299,-2.641,0.290,83.261,81.016,2.200,-2.427,-1.436,110.111,-0.012,-1.174,2016.250
CC2205,West,Seosan,2016,3,10.322,0.116,-0.023,-1.717,-0.337,10.983,5.304,-89.480,-73.084,-7.705,-11.861,-3.801,-120.518,-15.239,2.306,2016.500
CC2205,West,Seosan,2016,4,1.730,0.550,0.011,-1.382,-0.999,-1.622,0.311,9.471,8.066,9.901,6.231,3.081,138.044,-15.080,-1.739,2016.750
CC2205,West,Seosan,2017,1,-6.925,0.527,0.079,0.897,-0.728,6.331,-3.623,21.880,24.586,56.858,-2.094,9.601,105.577,12.524,-2.164,2017.000
CC2205,West,Seosan,2017,2,-1.106,0.417,-0.032,0.540,-0.127,-7.388,-1.634,30.880,21.866,-85.703,-1.982,-9.585,-141.105,5.593,1.441,2017.250
CC2205,West,Seosan,2017,3,11.460,0.105,-0.053,-1.684,0.444,-6.116,9.853,-62.620,-58.873,-91.096,-0.949,-9.928,-33.570,-2.971,-1.029,2017.500
CC2205,West,Seosan,2017,4,-4.716,0.397,0.067,0.750,0.526,-8.012,1.743,2.282,-3.986,-63.058,3.026,-3.861,-31.566,9.856,0.367,2017.750
CC2205,West,Seosan,2018,1,-10.733,0.258,0.140,1.094,-0.048,-2.400,-0.932,113.200,109.886,37.699,34.564,26.918,147.999,31.856,-1.609,2018.000
CC2205,West,Seosan,2018,2,-2.346,0.117,-0.032,-1.380,0.563,-2.618,-3.814,-18.810,-25.234,-22.723,-15.042,-4.825,-174.875,28.093,1.101,2018.250
CC2205,West,Seosan,2018,3,6.037,0.168,0.009,0.283,0.215,-3.234,-4.454,-85.518,-93.206,-114.685,-12.027,-9.888,-183.121,-10.230,1.167,2018.500
CC2205,West,Seosan,2018,4,1.243,-0.149,0.032,-1.089,-0.120,21.296,-4.976,18.021,34.345,-18.096,8.268,-1.826,-239.252,-0.447,-1.239,2018.750
