stid,region,admin,variable,n,start_year,end_year,intercept,slope,p_value,r^2
CC2205,West,Seosan,COD_b_adj,44.000,2014.000,2024.000,-108.528,0.054,0.006,0.166
CC2205,West,Seosan,Chla_b_adj,44.000,2014.000,2024.000,-197.401,0.098,0.267,0.029
CC2205,West,Seosan,DIN_b_adj,44.000,2014.000,2024.000,7354.468,-3.642,0.224,0.035
CC2205,West,Seosan,DIP_b_adj,44.000,2014.000,2024.000,498.999,-0.247,0.574,0.008
CC2205,West,Seosan,DO_b_adj,44.000,2014.000,2024.000,54.603,-0.027,0.682,0.004
CC2205,West,Seosan,NH3-N_b_adj,44.000,2014.000,2024.000,-42.550,0.021,0.973,0.000
CC2205,West,Seosan,NO2-_b_adj,44.000,2014.000,2024.000,916.950,-0.454,0.092,0.066
CC2205,West,Seosan,NO3-_b_adj,44.000,2014.000,2024.000,6480.607,-3.209,0.290,0.027
CC2205,West,Seosan,SAS_b_adj,44.000,2014.000,2024.000,6571.739,-3.254,0.631,0.006
CC2205,West,Seosan,SS_b_adj,44.000,2014.000,2024.000,556.187,-0.275,0.737,0.003
CC2205,West,Seosan,TN_b_adj,44.000,2014.000,2024.000,32041.648,-15.867,0.000,0.341
CC2205,West,Seosan,TP_b_adj,44.000,2014.000,2024.000,2177.342,-1.078,0.026,0.112
CC2205,West,Seosan,pH_b_adj,44.000,2014.000,2024.000,-0.305,0.000,0.973,0.000
CC2205,West,Seosan,salinity_b_adj,44.000,2014.000,2024.000,135.246,-0.067,0.000,0.304
CC2205,West,Seosan,temp_b_adj,44.000,2014.000,2024.000,-780.389,0.386,0.243,0.032
CC2209,West,Taean,COD_b_adj,44.000,2014.000,2024.000,-75.425,0.037,0.138,0.052
CC2209,West,Taean,Chla_b_adj,44.000,2014.000,2024.000,-191.627,0.095,0.241,0.033
CC2209,West,Taean,DIN_b_adj,44.000,2014.000,2024.000,2592.633,-1.284,0.653,0.005
CC2209,West,Taean,DIP_b_adj,44.000,2014.000,2024.000,167.318,-0.083,0.819,0.001
CC2209,West,Taean,DO_b_adj,44.000,2014.000,2024.000,53.598,-0.027,0.716,0.003
CC2209,West,Taean,NH3-N_b_adj,44.000,2014.000,2024.000,-66.046,0.033,0.902,0.000
CC2209,West,Taean,NO2-_b_adj,44.000,2014.000,2024.000,404.037,-0.200,0.317,0.024
CC2209,West,Taean,NO3-_b_adj,44.000,2014.000,2024.000,2254.190,-1.116,0.710,0.003
CC2209,West,Taean,SAS_b_adj,44.000,2014.000,2024.000,630.307,-0.312,0.958,0.000
CC2209,West,Taean,SS_b_adj,44.000,2014.000,2024.000,-776.794,0.385,0.443,0.014
CC2209,West,Taean,TN_b_adj,44.000,2014.000,2024.000,21821.497,-10.806,0.002,0.208
CC2209,West,Taean,TP_b_adj,44.000,2014.000,2024.000,610.271,-0.302,0.519,0.010
CC2209,West,Taean,pH_b_adj,44.000,2014.000,2024.000,7.448,-0.004,0.454,0.013
CC2209,West,Taean,salinity_b_adj,44.000,2014.000,2024.000,107.990,-0.053,0.002,0.214
CC2209,West,Taean,temp_b_adj,44.000,2014.000,2024.000,-399.598,0.198,0.539,0.009
CC2210,West,Taean,COD_b_adj,44.000,2014.000,2024.000,-83.512,0.041,0.135,0.053
CC2210,West,Taean,Chla_b_adj,44.000,2014.000,2024.000,-400.315,0.198,0.135,0.052
CC2210,West,Taean,DIN_b_adj,44.000,2014.000,2024.000,2463.657,-1.220,0.698,0.004
CC2210,West,Taean,DIP_b_adj,44.000,2014.000,2024.000,653.475,-0.324,0.394,0.017
CC2210,West,Taean,DO_b_adj,44.000,2014.000,2024.000,-64.896,0.032,0.692,0.004
CC2210,West,Taean,NH3-N_b_adj,44.000,2014.000,2024.000,357.624,-0.177,0.755,0.002
CC2210,West,Taean,NO2-_b_adj,44.000,2014.000,2024.000,-166.095,0.082,0.619,0.006
CC2210,West,Taean,NO3-_b_adj,44.000,2014.000,2024.000,2272.426,-1.125,0.704,0.003
CC2210,West,Taean,SAS_b_adj,44.000,2014.000,2024.000,-5396.975,2.673,0.709,0.003
CC2210,West,Taean,SS_b_adj,44.000,2014.000,2024.000,149.514,-0.074,0.787,0.002
CC2210,West,Taean,TN_b_adj,44.000,2014.000,2024.000,23403.907,-11.590,0.001,0.243
CC2210,West,Taean,TP_b_adj,44.000,2014.000,2024.000,541.531,-0.268,0.511,0.010
CC2210,West,Taean,pH_b_adj,44.000,2014.000,2024.000,0.188,-0.000,0.988,0.000
CC2210,West,Taean,salinity_b_adj,44.000,2014.000,2024.000,125.190,-0.062,0.095,0.065
CC2210,West,Taean,temp_b_adj,44.000,2014.000,2024.000,-402.667,0.199,0.568,0.008
CE2519,East,Samchuk,COD_b_adj,44.000,2014.000,2024.000,-135.441,0.067,0.014,0.135
CE2519,East,Samchuk,Chla_b_adj,44.000,2014.000,2024.000,-82.316,0.041,0.507,0.011
CE2519,East,Samchuk,DIN_b_adj,44.000,2014.000,2024.000,-10404.178,5.152,0.033,0.104
CE2519,East,Samchuk,DIP_b_adj,44.000,2014.000,2024.000,-1147.435,0.568,0.132,0.053
CE2519,East,Samchuk,DO_b_adj,44.000,2014.000,2024.000,158.248,-0.078,0.116,0.058
CE2519,East,Samchuk,NH3-N_b_adj,44.000,2014.000,2024.000,-550.125,0.272,0.310,0.025
CE2519,East,Samchuk,NO2-_b_adj,44.000,2014.000,2024.000,-108.495,0.054,0.542,0.009
CE2519,East,Samchuk,NO3-_b_adj,44.000,2014.000,2024.000,-9743.839,4.825,0.041,0.096
CE2519,East,Samchuk,SAS_b_adj,44.000,2014.000,2024.000,-21809.491,10.800,0.065,0.079
CE2519,East,Samchuk,SS_b_adj,44.000,2014.000,2024.000,0.539,-0.000,0.999,0.000
CE2519,East,Samchuk,TN_b_adj,44.000,2014.000,2024.000,4951.494,-2.452,0.298,0.026
CE2519,East,Samchuk,TP_b_adj,44.000,2014.000,2024.000,-1472.442,0.729,0.053,0.086
