region,admin,env_variable,start_year,end_year,env_slope,env_p_value,trend,significance,n_year,cor_ts,lm_p_value,CB3_env_corr_summary,cb_slope,cb_p_value,cb_r^2,CB3_trend_summary
East,Donghae,COD_b_adj,2014.000,2024.000,0.083,0.001,increasing,significant,5.000,0.282,0.646,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,Chla_b_adj,2014.000,2024.000,-0.005,0.859,decreasing,not_significant,5.000,0.423,0.478,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,DIN_b_adj,2014.000,2024.000,4.427,0.056,increasing,marginal,5.000,-0.050,0.937,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,DIP_b_adj,2014.000,2024.000,0.604,0.106,increasing,not_significant,5.000,0.002,0.997,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,DO_b_adj,2014.000,2024.000,-0.088,0.075,decreasing,marginal,5.000,0.253,0.681,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,NH3-N_b_adj,2014.000,2024.000,0.073,0.771,increasing,not_significant,5.000,0.067,0.915,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,NO2-_b_adj,2014.000,2024.000,0.108,0.216,increasing,not_significant,5.000,-0.556,0.330,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,NO3-_b_adj,2014.000,2024.000,4.243,0.066,increasing,marginal,5.000,-0.031,0.961,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,SAS_b_adj,2014.000,2024.000,9.056,0.098,increasing,marginal,5.000,-0.200,0.747,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,SS_b_adj,2014.000,2024.000,0.255,0.082,increasing,marginal,5.000,0.219,0.723,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,TN_b_adj,2014.000,2024.000,-6.953,0.006,decreasing,significant,5.000,0.213,0.731,positive (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,TP_b_adj,2014.000,2024.000,0.703,0.041,increasing,significant,5.000,-0.044,0.944,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,pH_b_adj,2014.000,2024.000,-0.006,0.245,decreasing,not_significant,5.000,-0.497,0.394,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,salinity_b_adj,2014.000,2024.000,-0.010,0.539,decreasing,not_significant,5.000,-0.249,0.686,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Donghae,temp_b_adj,2014.000,2024.000,0.262,0.184,increasing,not_significant,5.000,-0.795,0.108,negative (not_significant),0.030,0.675,0.067,increasing (not_significant)
East,Gangneung,COD_b_adj,2014.000,2024.000,0.076,0.001,increasing,significant,5.000,0.159,0.798,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,Chla_b_adj,2014.000,2024.000,-0.031,0.527,decreasing,not_significant,5.000,-0.166,0.790,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,DIN_b_adj,2014.000,2024.000,4.900,0.023,increasing,significant,5.000,-0.126,0.840,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,DIP_b_adj,2014.000,2024.000,0.670,0.044,increasing,significant,5.000,-0.302,0.621,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,DO_b_adj,2014.000,2024.000,-0.086,0.058,decreasing,marginal,5.000,0.650,0.235,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,NH3-N_b_adj,2014.000,2024.000,0.487,0.139,increasing,not_significant,5.000,0.043,0.946,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,NO2-_b_adj,2014.000,2024.000,0.181,0.058,increasing,marginal,5.000,-0.330,0.588,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,NO3-_b_adj,2014.000,2024.000,4.252,0.034,increasing,significant,5.000,-0.137,0.826,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,SAS_b_adj,2014.000,2024.000,9.423,0.048,increasing,significant,5.000,-0.289,0.638,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,SS_b_adj,2014.000,2024.000,0.286,0.028,increasing,significant,5.000,0.065,0.917,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,TN_b_adj,2014.000,2024.000,-4.909,0.013,decreasing,significant,5.000,0.507,0.383,positive (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,TP_b_adj,2014.000,2024.000,0.722,0.039,increasing,significant,5.000,-0.213,0.731,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,pH_b_adj,2014.000,2024.000,-0.004,0.316,decreasing,not_significant,5.000,-0.270,0.660,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,salinity_b_adj,2014.000,2024.000,-0.015,0.491,decreasing,not_significant,5.000,-0.047,0.940,negative (not_significant),0.012,0.802,0.024,increasing (not_significant)
East,Gangneung,temp_b_adj,2014.000,2024.000,0.147,0.513,increasing,not_significant,5.000,-0.822,0.088,negative (marginal),0.012,0.802,0.024,increasing (not_significant)
East,Gosung,COD_b_adj,2014.000,2024.000,0.059,0.016,increasing,significant,3.000,-0.166,0.894,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,Chla_b_adj,2014.000,2024.000,0.035,0.434,increasing,not_significant,3.000,0.187,0.880,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,DIN_b_adj,2014.000,2024.000,-1.654,0.315,decreasing,not_significant,3.000,-0.137,0.912,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,DIP_b_adj,2014.000,2024.000,-0.307,0.270,decreasing,not_significant,3.000,0.045,0.971,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,DO_b_adj,2014.000,2024.000,-0.005,0.929,decreasing,not_significant,3.000,-0.569,0.615,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,NH3-N_b_adj,2014.000,2024.000,-0.213,0.484,decreasing,not_significant,3.000,0.000,1.000,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,NO2-_b_adj,2014.000,2024.000,-0.038,0.596,decreasing,not_significant,3.000,-0.541,0.636,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,NO3-_b_adj,2014.000,2024.000,-1.400,0.367,decreasing,not_significant,3.000,-0.083,0.947,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,SAS_b_adj,2014.000,2024.000,-4.863,0.270,decreasing,not_significant,3.000,-0.360,0.765,negative (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,SS_b_adj,2014.000,2024.000,-0.361,0.090,decreasing,marginal,3.000,0.807,0.402,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,TN_b_adj,2014.000,2024.000,-3.959,0.028,decreasing,significant,3.000,0.877,0.320,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
East,Gosung,TP_b_adj,2014.000,2024.000,-0.187,0.515,decreasing,not_significant,3.000,0.108,0.931,positive (not_significant),-0.116,0.367,0.703,decreasing (not_significant)
