region,admin,COD_b_adj,Chla_b_adj,DIN_b_adj,DIP_b_adj,DO_b_adj,NH3-N_b_adj,NO2-_b_adj,NO3-_b_adj,SAS_b_adj,SS_b_adj,TN_b_adj,TP_b_adj,pH_b_adj,salinity_b_adj,temp_b_adj
East,Donghae,0.083,-0.005,4.427,0.604,-0.088,0.073,0.108,4.243,9.056,0.255,-6.953,0.703,-0.006,-0.010,0.262
East,Gangneung,0.076,-0.031,4.900,0.670,-0.086,0.487,0.181,4.252,9.423,0.286,-4.909,0.722,-0.004,-0.015,0.147
East,Gosung,0.059,0.035,-1.654,-0.307,-0.005,-0.213,-0.038,-1.400,-4.863,-0.361,-3.959,-0.187,0.000,-0.025,0.200
East,Samchuk,0.067,0.041,5.152,0.568,-0.078,0.272,0.054,4.825,10.800,-0.000,-2.452,0.729,-0.004,0.008,-0.059
East,Sokcho,0.099,0.028,2.489,0.328,-0.028,0.628,0.068,1.793,3.858,0.219,-6.132,0.306,-0.001,-0.017,0.142
Jeju,Daejung,0.050,-0.018,-0.946,-0.102,-0.002,0.146,0.007,-1.100,-2.636,1.193,-5.357,0.080,-0.004,-0.033,0.229
Jeju,Gujwa,0.068,-0.013,0.511,0.046,-0.052,-0.344,0.002,0.854,-1.115,0.321,-6.503,0.279,-0.005,-0.028,0.239
Jeju,Hallim,0.044,-0.011,-0.345,0.117,-0.028,-0.000,0.034,-0.380,-0.061,1.576,-8.524,0.290,-0.007,-0.002,0.192
Jeju,Jeju,0.054,-0.006,-0.193,-0.110,-0.029,0.035,0.115,-0.446,-2.794,0.868,-7.820,0.244,-0.010,-0.066,0.292
Jeju,Sungsanpo,0.047,-0.010,-1.063,-0.131,0.004,-0.250,0.022,-0.836,-5.236,1.270,-8.605,0.198,0.000,-0.035,0.276
South,Geoje,0.036,-0.048,2.020,0.454,-0.067,0.209,-0.060,1.864,4.560,0.318,-5.149,0.516,-0.012,-0.034,0.169
South,Gijang,0.092,0.071,1.235,0.478,0.003,-0.090,-0.112,1.446,2.212,0.163,-8.698,0.309,-0.007,-0.018,0.148
South,Gosung,0.071,0.025,-2.455,0.266,-0.045,-0.541,-0.695,-1.173,21.876,-0.596,-9.383,0.443,-0.014,-0.024,0.178
South,Sacheon,0.092,-0.069,0.162,0.050,-0.071,0.025,-0.507,0.543,5.783,0.175,-9.554,0.455,-0.012,-0.028,0.180
South,Tongyoung,0.053,-0.115,2.450,0.454,-0.078,0.633,-0.460,2.231,2.248,-0.320,-9.632,-0.345,-0.013,-0.025,0.179
South,Yeosu,0.070,-0.196,1.456,0.409,-0.097,1.051,-0.544,1.903,3.592,0.213,-8.076,0.743,-0.010,-0.010,0.088
West,Gochang,0.062,-0.231,3.054,0.292,-0.049,0.717,0.711,1.606,7.500,7.834,-15.349,-2.773,-0.007,-0.058,0.172
West,Gohung,0.067,-0.021,2.528,0.366,-0.040,0.517,0.501,1.704,9.446,0.868,-7.944,0.543,-0.016,-0.043,0.134
West,Jindo,0.066,-0.080,2.973,0.422,-0.121,0.823,0.009,2.406,-2.978,-2.185,-7.098,-0.991,0.001,-0.041,0.253
West,Muan,0.069,0.049,1.764,0.435,0.027,-0.408,0.324,2.102,2.102,2.767,-12.797,-1.104,0.012,-0.065,0.020
West,Seosan,0.054,0.098,-3.642,-0.247,-0.027,0.021,-0.454,-3.209,-3.254,-0.275,-15.867,-1.078,0.000,-0.067,0.386
West,Shinan,0.075,0.024,1.833,0.347,-0.028,0.476,-0.004,1.362,1.070,2.512,-4.032,0.668,-0.001,-0.076,0.201
West,Taean,0.039,0.159,-1.257,-0.307,0.005,-0.149,-0.144,-1.121,2.615,0.334,-11.228,-0.285,-0.004,-0.055,0.199
West,Wando,0.101,-0.065,3.163,0.487,0.063,0.845,0.005,2.808,5.259,-1.389,-6.622,0.298,0.004,-0.028,0.178
